Species,FunctionalGroup,Duration,Lifeform,Pathway,Taxon,Specid,5Lspecid,Origin,ITISTaxon,ITISRecognizedName,Family,CountSpecies,Comment
Rhamnus cathartica,W,Perennial,Woody,C3,377,Rhamcath,Rhaca,Introduced,28573,Rhamnus cathartica,Rhamnaceae,Y,
Rhamnus frangula,W,Perennial,Woody,C3,375,Rhamfran,Rhafr,Introduced,28579,Rhamnus frangula,Rhamnaceae,Y,
Rhamnus sp.,W,Perennial,Woody,C3,376,Rhamnusp,Rhasp,Introduced,,,Rhamnaceae,Y,
Rhus glabra,W,Perennial,Woody,C3,303,Rhusglab,Rhugl,Native,28782,Rhus glabra,Anacardiaceae,Y,
Rhus radicans,W,Perennial,Woody,C3,315,Rhusradi,Rhura,Native,28776,Rhus radicans,Anacardiaceae,Y,
Rhus sp.,W,Perennial,Woody,C3,358,Rhussp,Rhusp,Unknown,,,Anacardiaceae,Y,
Rhus typhina,,,,,1045,,,,,,,,
Ribes hirtellum,W,Perennial,Woody,C3,356,Ribehirt,Ribhi,Native,24470,Ribes hirtellum,Saxifragaceae,Y,
Robinia pseudacacia,,,,,1046,,,,,,,,
Roots,,,,,803,Roots,Roots,Unknown,,,,N,
Rosa arkansana,W,Perennial,Woody,C3,304,Rosaarka,Rosar,Native,24815,Rosa arkansana,Rosaceae,Y,
Rosa blanda,W,Perennial,Woody,C3,338,Rosablan,Rosbl,Native,24816,Rosa blanda,Rosaceae,Y,
Rosa carolina,,,,,1047,,,,,,,,
Rubus alleghaniensis,,,,,1048,,,,,,,,
Rubus canadensis,,,,,1049,,,,,,,,
Rubus flagellaris,W,Perennial,Woody,C3,311,Rubuflag,Rubfl,Native,24921,Rubus flagellaris,Rosaceae,Y,
Rubus idaeus,W,Perennial,Woody,C3,364,Rubuidae,Rubid,Native,24947,Rubus idaeus,Rosaceae,Y,
Rubus occidentalis,W,Perennial,Woody,C3,316,Rubuocci,Ruboc,Native,24854,Rubus occidentalis,Rosaceae,Y,
Rubus pubescens,,,,,1050,,,,,,,,
Rubus sp.,W,Perennial,Woody,C3,305,Rubussp,Rubsp,Native,,,Rosaceae,Y,
Rubus strigosus,W,Perennial,Woody,C3,367,Rubustri,Rubst,Native,25056,Rubus strigosus,Rosaceae,Y,
Rudbeckia hirta,,,,,1051,,,,,,,,
Rudbeckia serotina,F,Perennial,Non-legume forb,C3,552,Rudbsero,Rudse,Native,36766,Rudbeckia serotina,Asteraceae,Y,
Rumex acetosella,F,Perennial,Non-legume forb,C3,553,Rumeacet,Rumac,Introduced,20934,Rumex acetosella,Polygonaceae,Y,
Rumex mexicanus,F,Perennial,Non-legume forb,C3,715,Rumemexi,Rumme,Native,20966,Rumex mexicanus,Polygonaceae,Y,
Rumex orbiculatus,F,Perennial,Non-legume forb,C3,694,Rumeorbi,Rumor,Native,20967,Rumex orbiculatus,Polygonaceae,Y,
Rumex sp.,F,,Non-legume forb,C3,695,Rumexsp,Rumsp,Unknown,,,Polygonaceae,Y,
Sagittaria latifolia,F,,Non-legume forb,C3,696,Sagilati,Sagla,Native,38908,Sagittaria latifolia,Alismataceae,Y,
Salix bebbiana,W,Perennial,Woody,C3,349,Salibebb,Salbe,Native,22507,Salix bebbiana,Salicaceae,Y,
Salix discolor,W,Perennial,Woody,C3,362,Salidisc,Saldi,Native,22524,Salix discolor,Salicaceae,Y,
Salix gracilis,W,Perennial,Woody,C3,350,Saligrac,Salgr,Native,520819,Salix gracilis,Salicaceae,Y,
Salix humilis,W,Perennial,Woody,C3,368,Salihumi,Salhu,Native,22546,Salix humilis,Salicaceae,Y,
Salix interior,W,Perennial,Woody,C3,363,Saliinte,Salin,Native,520829,Salix interior,Salicaceae,Y,
Salix pedicellaris,W,Perennial,Woody,C3,351,Salipedi,Salpe,Native,22564,Salix pedicellaris,Salicaceae,Y,
Salix pyrifolia,W,Perennial,Woody,C3,357,Salipyri,Salpy,Native,22575,Salix pyrifolia,Salicaceae,Y,
Salix serrisima,W,Perennial,Woody,C3,370,Saliserr,Salse,Native,22581,Salix serissima,Salicaceae,Y,
Salix sp.,W,Perennial,Woody,C3,321,Salixsp,Salsp,Native,,,Salicaceae,Y,
Salsola kali,F,Annual,Non-legume forb,C4,687,Salskali,Salka,Introduced,20655,Salsola kali,Chenopodiaceae,Y,
Saxifraga pensylvanica,F,Perennial,Non-legume forb,C3,716,Saxipens,Saxpe,Native,24234,Saxifraga pensylvanica,Saxifragaceae,Y,
Schizachne purpurascens,,,,,1052,,,,,,,,
Schizachyrium scoparium,C4,Perennial,Grass,C4,103,Schiscop,Schsc,Native,42076,Schizachyrium scoparium,Poaceae,Y,
Scirpus cyperinus,S,Perennial,Sedge,C3,249,Scircype,Scicy,Native,40228,Scirpus cyperinus,Cyperaceae,Y,
Scirpus validus,S,Perennial,Sedge,C3,248,Scirvali,Sciva,Native,40239,Scirpus validus,Cyperaceae,Y,
Scleria triglomerata,S,Perennial,Sedge,C4,250,Scletrig,Scltr,Native,40318,Scleria triglomerata,Cyperaceae,Y,
Scutellaria galericulata,F,Perennial,Non-legume forb,C3,717,Scutgale,Scuga,Native,32798,Scutellaria galericulata,Lamiaceae,Y,
Scutellaria lateriflora,F,Perennial,Non-legume forb,C3,601,Scutlate,Scula,Native,32765,Scutellaria lateriflora,Lamiaceae,Y,
Scutellaria parvula,F,Perennial,Non-legume forb,C3,554,Scutparv,Scupa,Native,32776,Scutellaria parvula,Lamiaceae,Y,
Secale cereale,C3,Annual,Grass,C3,144,Secacere,Secce,Introduced,42090,Secale cereale,Poaceae,Y,
Sedges,S,,Sedge,,900,Sedges,Sedge,Unknown,,,Cyperaceae,Y,
Seed contaminant - forb,,,,,995,,,Unknown,,,,,Used for Exp 141
Seed contaminant - grass,,,Grass,,994,,,Unknown,,,,,Used for Exp 141
Seedlings,,,,,806,Seedlin,Seedl,Unknown,,,,Y,
Senecio aureus,F,Perennial,Non-legume forb,C3,555,Seneaure,Senau,Native,36091,Senecio aureus,Asteraceae,Y,
Senecio pauperculus,F,Perennial,Non-legume forb,C3,556,Senepaup,Senpa,Native,36168,Senecio pauperculus,Asteraceae,Y,
Senecio sp.,F,Perennial,Non-legume forb,C3,656,Senecisp,Sensp,Unknown,,,Asteraceae,Y,
Setaria italica,C4,Annual,Grass,C4,153,Setaital,Setit,Introduced,41248,Setaria italica,Poaceae,Y,
Setaria lutescens (glauca),C4,Annual,Grass,C4,118,Setalute,Setlu,Introduced,565884,Setaria glauca,Poaceae,Y,
Setaria sp.,C4,Annual,Grass,C4,137,Setarisp,Setsp,Unknown,,,Poaceae,Y,
Setaria viridis,C4,Annual,Grass,C4,119,Setaviri,Setvi,Introduced,41231,Setaria viridis,Poaceae,Y,
Silene antirrhina,F,Annual,Non-legume forb,C3,557,Sileanti,Silan,Native,20045,Silene antirrhina,Caryophyllaceae,Y,
Silene sp.,F,,Non-legume forb,C3,749,Silenesp,Silsp,Unknown,,,Caryophyllaceae,Y,
Sisymbrium altissimum,F,Biennial,Non-legume forb,C3,600,Sisyalti,Sisal,Introduced,23312,Sisymbrium altissimum,Brassicaceae,Y,
Sisyrinchium campestre,F,Perennial,Non-legume forb,C3,558,Sisycamp,Sisca,Native,43254,Sisyrinchium campestre,Iridaceae,Y,
Smilacina racemosa,F,Perennial,Non-legume forb,C3,623,Smilrace,Smira,Native,43036,Smilacina racemosa,Lilliaceae,Y,
Smilacina stellata,F,Perennial,Non-legume forb,C3,559,Smilstel,Smist,Native,43038,Smilacina stellata,Lilliaceae,Y,
Smilax herbacea,F,Perennial,Non-legume forb,C3,705,Smilherb,Smihe,Native,43356,Smilax herbacea,Lilliaceae,Y,
Solanum americanum,F,Annual,Non-legume forb,C3,613,Solaamer,Solam,Native,565523,Solanum americanum,Solanaceae,Y,
Solanum caroliniense,F,Perennial,Non-legume forb,C3,744,Solacaro,Solca,Introduced,30413,Solanum carolinense,Solanaceae,Y,
Solanum dulcamara,F,Annual,Non-legume forb,C3,664,Soladulc,Soldu,Introduced,30414,Solanum dulcamara,Solanaceae,Y,
Solanum nigrum,,,,,1055,,,,,,,,
Solidago altissima,F,Perennial,Non-legume forb,C3,761,Solialti,Solal,Native,36228,Solidago altissima,Asteraceae,Y,
Solidago canadensis,F,Perennial,Non-legume forb,C3,603,Solicana,Solca,Native,36224,Solidago canadensis,Asteraceae,Y,
Solidago gigantea,F,Perennial,Non-legume forb,C3,560,Soligiga,Solgi,Native,36259,Solidago gigantea,Asteraceae,Y,
Solidago graminifolia,F,Perennial,Non-legume forb,C3,604,Soligram,Solgr,Native,521716,Solidago graminifolia,Asteraceae,Y,
Solidago juncea,,,,,1053,,,,,,,,
Solidago missouriensis,F,Perennial,Non-legume forb,C3,650,Solimiss,Solmi,Native,36277,Solidago missouriensis,Asteraceae,Y,
Solidago nemoralis,F,Perennial,Non-legume forb,C3,561,Solinemo,Solne,Native,36281,Solidago nemoralis,Asteraceae,Y,
Solidago rigida,F,Perennial,Non-legume forb,C3,562,Solirigi,Solri,Native,36297,Solidago rigida,Asteraceae,Y,
Solidago sp.,F,Perennial,Non-legume forb,C3,605,Solidasp,Solsp,Native,,,Asteraceae,Y,
Solidago speciosa,F,Perennial,Non-legume forb,C3,563,Solispec,Solsp,Native,36310,Solidago speciosa,Asteraceae,Y,
Sonchus arvensis,,,,,1056,,,,,,,,
Sorghastrum nutans,C4,Perennial,Grass,C4,120,Sorgnuta,Sornu,Native,42102,Sorghastrum nutans,Poaceae,Y,
Spartina pectinata,C4,Perennial,Grass,C4,149,Sparpect,Spape,Native,41272,Spartina pectinata,Poaceae,Y,
Sphagnum sp.,O,,,C3,15,Sphagnsp,Sphsp,Unknown,,,Sphagnaceae,N,
Spiraea alba,W,Perennial,Woody,C3,348,Spiralba,Spial,Native,25329,Spiraea alba,Rosaceae,Y,
Spiraea tomentosa,W,Perennial,Woody,C3,352,Spirtome,Spito,Native,25342,Spiraea tomentosa,Rosaceae,Y,
Sporobolus cryptandrus,C4,Perennial,Grass,C4,121,Sporcryp,Spocr,Native,42132,Sporobolus cryptandrus,Poaceae,Y,
Sporobolus heterolepis,C4,Perennial,Grass,C4,152,Sporhete,Spohe,Native,42119,Sporobolus heterolepis,Poaceae,Y,
Sporobolus sp.,C4,Perennial,Grass,C4,133,Sporobsp,Sposp,Native,,,Poaceae,Y,
Stachys palustris,F,Perennial,Non-legume forb,C3,602,Stacpalu,Stapa,Native,32344,Stachys palustris,Lamiaceae,Y,
Stachys sp.,F,,Non-legume forb,C3,752,Stachysp,Stasp,Unknown,,,Lamiaceae,Y,
Stachys tenuifolia,,,,,1057,,,,,,,,
Stellaria longifolia,F,Perennial,Non-legume forb,C3,564,Stellong,Stelo,Native,20185,Stellaria longifolia,Caryophyllaceae,Y,
Stellaria media,F,,Non-legume forb,C3,779,Stelmedi,Steme,Introduced,20169,Stellaria media,Caryophyllaceae,Y,
Stems,,,,,801,Stems,Stems,Unknown,,,,N,
Stipa comata,C3,Perennial,Grass,C3,165,Stipcoma,Stico,Native,42172,Stipa comata,Poaceae,Y,
Stipa spartea,C3,Perennial,Grass,C3,122,Stipspar,Stisp,Native,42166,Stipa spartea,Poaceae,Y,
Stipa spicata,C3,Perennial,Grass,C3,166,Stipspic,Stisp,Native,565572,Trachypogon spicatus,Poaceae,Y,
Streptopus roseus,,,,,1058,,,,,,,,
Strophostyles leiosperma,L,Annual,Legume,C3,412,Stroleio,Strle,Native,26203,Strophostyles leiosperma,Fabaceae,Y,
Symphoricarpos occidentalis,,,,,1009,,,,,,,,
Taraxacum sp.,,,,,1001,,,,,,,,
Taraxicum officinalis,F,Perennial,Non-legume forb,C3,630,Taraoffi,Tarof,Introduced,36213,Taraxacum officinale,Asteraceae,Y,
Thalictrum dasycarpum,F,Perennial,Non-legume forb,C3,740,Thaldasy,Thada,Native,18667,Thalictrum dasycarpum,Ranunculaceae,Y,
Thalictrum dioicum,F,Perennial,Non-legume forb,C3,718,Thaldioi,Thadi,Native,18669,Thalictrum dioicum,Ranunculaceae,Y,
Thelypteris palustris,O,Perennial,,C3,13,Thelpalu,Thepa,Native,17251,Thelypteris palustris,Aspleniaceae,Y,
Toothpick (t.p.),,,,,993,Toothpit,Tooth,Unknown,,,,N,
Tradescantia bracteata,F,Perennial,Non-legume forb,C3,565,Tradbrac,Trabr,Native,39157,Tradescantia bracteata,Commelinaceae,Y,
Tradescantia occidentalis,F,Perennial,Non-legume forb,C3,566,Tradocci,Traoc,Native,39168,Tradescantia occidentalis,Commelinaceae,Y,
Tradescantia sp.,F,,Non-legume forb,C3,745,Tradessp,Trasp,Unknown,,,Commelinaceae,Y,
Tragopogon dubius (major),F,Biennial,Non-legume forb,C3,567,Tragdubi,Tradu,Introduced,38564,Tragopogon dubius,Asteraceae,Y,
Triadenum fraseri,F,Perennial,Non-legume forb,C3,697,Triafras,Trifr,Native,21473,Triadenum fraseri,Clusiaceae,Y,
Trientalis borealis,F,Perennial,Non-legume forb,C3,660,Triebore,Tribo,Native,24053,Trientalis borealis,Primulaceae,Y,
Trifolium arvense,L,Annual,Legume,C3,410,Trifarve,Triar,Introduced,26221,Trifolium arvense,Fabaceae,Y,
Trifolium hybridum,L,Perennial,Legume,C3,413,Trifhybr,Trihy,Introduced,26261,Trifolium hybridum,Fabaceae,Y,
Trifolium pratense,L,Perennial,Legume,C3,404,Trifprat,Tripr,Introduced,26313,Trifolium pratense,Fabaceae,Y,
Trifolium repens,L,Perennial,Legume,C3,405,Trifrepe,Trire,Introduced,26206,Trifolium repens,Fabaceae,Y,
Trifolium sp.,L,Perennial,Legume,C3,409,Trifolsp,Trisp,Introduced,,,Fabaceae,Y,
Typha glauca,F,Perennial,Non-legume forb,C3,700,Typhglau,Typgl,Native,42328,Typha glauca,Typhaceae,Y,
Typha latifolia,F,Perennial,Non-legume forb,C3,701,Typhlati,Typla,Native,42326,Typha latifolia,Typhaceae,Y,
Typha sp.,F,,Non-legume forb,C3,766,Typhasp,Typsp,Unknown,,,Typhaceae,Y,
Ulmus americana,W,Perennial,Woody,C3,360,Ulmuamer,Ulmam,Native,19049,Ulmus americana,Ulmaceae,Y,
Ulmus pumila,W,Perennial,Woody,C3,314,Ulmupumi,Ulmpu,Introduced,19057,Ulmus pumila,Ulmaceae,Y,
Ulmus sp.,W,Perennial,Woody,C3,381,Ulmussp,Ulmsp,Unknown,,,,Y,
Unsorted biomass,,,,,91,Unsobiom,unsbi,,,,,Y,
Urtica dioica,F,Perennial,Non-legume forb,C3,707,Urtidioi,Urtdi,Native,19152,Urtica dioica,Urticaceae,Y,
Urtica gracilis,,,,,1002,,,,,,,,
Utricularia sp.,F,,Non-legume forb,C3,754,Utricusp,Utrsp,Unknown,,,Lentibulariaceae,Y,
Uvularia sessifolia,F,Perennial,Non-legume forb,C3,668,Uvulsess,Uvuse,Native,43112,Uvularia sessilifolia,Lilliaceae,Y,
Vaccinium angustifolium,W,Perennial,Woody,C3,335,Vaccangu,Vacan,Native,23579,Vaccinium angustifolium,Ericaceae,Y,
Vaccinium myrtilloides,W,Perennial,Woody,C3,312,Vaccmyrt,Vacmy,Native,23604,Vaccinium myrtilloides,Ericaceae,Y,
Vaccinium sp.,W,Perennial,Woody,C3,354,Vaccinsp,Vacsp,Native,,,Ericaceae,Y,
Verbascum thapsus,F,Biennial,Non-legume forb,C3,568,Verbthap,Verth,Introduced,33394,Verbascum thapsus,Scrophulariaceae,Y,
Verbena bracteata,F,Perennial,Non-legume forb,C3,586,Verbbrac,Verbr,Native,32085,Verbena bracteata,Verbenaceae,Y,
Verbena hastata,F,Perennial,Non-legume forb,C3,698,Verbhast,Verha,Native,32071,Verbena hastata,Verbenaceae,Y,
Verbena stricta,F,Perennial,Non-legume forb,C3,741,Verbstri,Verst,Native,32078,Verbena stricta,Verbenaceae,Y,
Vernonia fasciculata,F,Perennial,Non-legume forb,C3,742,Vernfasc,Verfa,Native,38629,Vernonia fasciculata,Asteraceae,Y,
Veronicastrum virginicum,F,Perennial,Non-legume forb,C3,655,Verovirg,Vervi,Native,34073,Veronicastrum virginicum,Verbenaceae,Y,
Viburnum lentago,W,Perennial,Woody,C3,383,Vibulent,Vible,Native,,,,Y,
Vicia angustifolia,L,Annual,Legume,C3,408,Viciangu,Vican,Introduced,26330,Vicia angustifolia,Fabaceae,Y,
Vicia villosa,L,Annual,Legume,C3,406,Vicivill,Vicvi,Introduced,26360,Vicia villosa,Fabaceae,Y,
Viola pallens,F,Perennial,Non-legume forb,C3,719,Violpall,Viopa,Native,22124,Viola pallens,Violaceae,Y,
Viola palustris,,,,,1054,,,,,,,,
Viola pedata,F,Perennial,Non-legume forb,C3,610,Violpeda,Viope,Native,22130,Viola pedata,Violaceae,Y,
Viola pedatifida,F,Perennial,Non-legume forb,C3,570,Violped2,Viope,Native,22131,Viola pedatifida,Violaceae,Y,
Viola sagittata,F,Perennial,Non-legume forb,C3,606,Violsagi,Viosa,Native,22162,Viola sagittata,Violaceae,Y,
Viola Selkirkii,,,,,1003,,,,,,,,
Viola sp.,F,Perennial,Non-legume forb,C3,569,Violasp,Viosp,Unknown,,,Violaceae,Y,
Vitis riparia,W,Perennial,Woody,C3,342,Vitiripa,Vitri,Native,28624,Vitis riparia,Vitaceae,Y,
Weeds,,,,,811,Weeds,Weeds,Unknown,,,,Y,
Woody,W,Perennial,Woody,,910,Woody,Woody,Unknown,,,,Y,
Woody debris,,,,,92,Wooddebr,Woode,Unknown,,,,N,
Xyris torta,C3,Perennial,Grass,C3,134,Xyritort,Xyrto,Native,39117,Xyris torta,Poaceae,Y,
Zanthoxylum americanum,W,Perennial,Woody,C3,344,Zantamer,Zanam,Native,505788,Zanthoxylum americanum,Rutaceae,Y,
Zizia aptera,F,Perennial,Non-legume forb,C3,680,Ziziapte,Zizap,Native,29905,Zizia aptera,Apiaceae,Y,
Zizia aurea,F,Perennial,Non-legume forb,C3,743,Ziziaure,Zizau,Native,29906,Zizia aurea,Apiaceae,Y,
